City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Georgetown,MY,78.75,moderate rain,5.4112,100.3354,Cititel Penang
3,Atuona,PF,77.86,clear sky,-9.8,-139.0333,Villa Enata
8,Praya,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
9,Butaritari,KI,82.42,light rain,3.0707,172.7902,Isles Sunset Lodge
17,Padang,ID,76.24,overcast clouds,-0.9492,100.3543,Mercure Padang
20,Mangrol,IN,83.71,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
28,Touros,BR,75.11,few clouds,-5.1989,-35.4608,INN NEW HORIZON
31,Claymont,US,77.67,overcast clouds,39.8007,-75.4596,Brandywine Plaza
32,Isangel,VU,80.71,overcast clouds,-19.55,169.2667,Tanna Lodge
33,Hithadhoo,MV,81.18,light rain,-0.6,73.0833,Scoop Guest House
35,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
43,Nioaque,BR,76.59,clear sky,-21.1353,-55.83,Nioaque Novo Hotel
44,Hilo,US,83.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
49,Sur,OM,89.19,few clouds,22.5667,59.5289,Sur Plaza Hotel
62,Pendleton,US,77.61,clear sky,45.6721,-118.7886,Americas Best Value Inn Pendleton
65,Sandi,IN,87.89,clear sky,27.3,79.95,देवल सदन
66,San Cristobal,VE,80.78,scattered clouds,7.7669,-72.225,Pirineos
67,Wanning,CN,80.53,overcast clouds,18.8003,110.3967,Paradise Hotel
68,Iquitos,PE,87.84,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
70,Aripuana,BR,77.7,broken clouds,-9.1667,-60.6333,
71,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
73,Jamestown,US,80.19,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
74,Panlaitan,PH,83.21,broken clouds,12.1191,119.8486,SOUTH BEACH
76,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
84,Xiamen,CN,76.24,broken clouds,24.4798,118.0819,Xiamen Dongchen Hotel
86,Samarai,PG,81.95,broken clouds,-10.6167,150.6667,Nuli Sapi
87,Bengkulu,ID,76.17,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
