City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Thompson,CA,55.7435,-97.8558,50.16,87,100,13.8,mist
1,Georgetown,MY,5.4112,100.3354,78.75,89,20,7.0,moderate rain
2,Hobart,AU,-42.8794,147.3294,43.27,94,20,5.75,few clouds
3,Atuona,PF,-9.8,-139.0333,77.86,72,2,19.89,clear sky
4,Albany,US,42.6001,-73.9662,73.24,74,96,5.84,overcast clouds
5,Tasiilaq,GL,65.6145,-37.6368,36.91,95,100,2.8,overcast clouds
6,Sergeyevka,KZ,53.88,67.4158,59.34,76,42,2.71,scattered clouds
7,Khatanga,RU,71.9667,102.5,63.97,42,100,19.75,overcast clouds
8,Praya,CV,14.9215,-23.5087,77.54,50,75,11.5,broken clouds
9,Butaritari,KI,3.0707,172.7902,82.42,75,23,14.09,light rain
10,Hermanus,ZA,-34.4187,19.2345,52.81,50,55,10.13,broken clouds
11,Ust-Kuyga,RU,70.0167,135.6,41.34,56,20,10.33,few clouds
12,Saskylakh,RU,71.9167,114.0833,51.62,51,42,12.41,scattered clouds
13,Longyearbyen,SJ,78.2186,15.6401,37.24,81,75,9.22,broken clouds
14,Portales,US,34.1862,-103.3344,96.33,23,1,5.01,clear sky
15,Punta Arenas,CL,-53.15,-70.9167,33.91,69,20,13.8,few clouds
16,Ponta Do Sol,PT,32.6667,-17.1,70.43,78,61,7.7,broken clouds
17,Padang,ID,-0.9492,100.3543,76.24,90,100,2.64,overcast clouds
18,Port Alfred,ZA,-33.5906,26.891,53.19,79,100,1.99,overcast clouds
19,Rudbar,AF,30.15,62.6,93.34,10,0,6.82,clear sky
20,Mangrol,IN,21.1167,70.1167,83.71,79,85,13.24,overcast clouds
21,Bluff,NZ,-46.6,168.3333,36.81,74,39,5.44,scattered clouds
22,Lac-Megantic,CA,45.5834,-70.8823,74.55,63,64,10.98,broken clouds
23,Rikitea,PF,-23.1203,-134.9692,72.46,66,11,3.6,few clouds
