City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Carutapera,-1.195,-46.02,76.06,91,100,5.5,BR,2022-06-12 00:37:18
1,Hithadhoo,-0.6,73.0833,83.88,73,100,14.43,MV,2022-06-12 00:37:19
2,Hilo,19.7297,-155.09,81.28,78,100,10.0,US,2022-06-12 00:35:56
3,Gerash,27.6652,54.1371,78.94,46,0,3.04,IR,2022-06-12 00:37:19
4,Lumeje,-11.55,20.7833,52.81,66,4,5.48,AO,2022-06-12 00:37:19
5,Albany,42.6001,-73.9662,68.58,66,30,3.09,US,2022-06-12 00:33:36
6,Atuona,-9.8,-139.0333,77.97,66,0,14.2,PF,2022-06-12 00:37:20
7,Mataura,-46.1927,168.8643,45.48,90,100,5.32,NZ,2022-06-12 00:37:20
8,Bengkulu,-3.8004,102.2655,75.58,90,97,10.2,ID,2022-06-12 00:37:21
9,Namatanai,-3.6667,152.4333,84.65,67,36,10.33,PG,2022-06-12 00:37:21
10,Cabo San Lucas,22.8909,-109.9124,92.61,44,0,19.57,MX,2022-06-12 00:34:18
11,Quatre Cocos,-20.2078,57.7625,68.11,83,100,15.79,MU,2022-06-12 00:37:22
12,Port Alfred,-33.5906,26.891,67.23,36,100,15.21,ZA,2022-06-12 00:37:22
13,Rocha,-34.4833,-54.3333,46.96,75,0,15.08,UY,2022-06-12 00:37:23
14,The Pas,53.8251,-101.2541,66.22,48,75,11.5,CA,2022-06-12 00:37:23
15,Mar Del Plata,-38.0023,-57.5575,45.95,92,0,4.61,AR,2022-06-12 00:33:33
16,Busselton,-33.65,115.3333,64.36,83,54,21.56,AU,2022-06-12 00:37:23
17,Ahipara,-35.1667,173.1667,60.24,85,59,18.43,NZ,2022-06-12 00:37:24
18,Mahebourg,-20.4081,57.7,68.29,100,75,11.5,MU,2022-06-12 00:37:24
19,Cape Town,-33.9258,18.4232,66.11,50,0,9.22,ZA,2022-06-12 00:33:03
20,Tasiilaq,65.6145,-37.6368,35.76,74,20,1.7,GL,2022-06-12 00:37:25
21,Hobart,-42.8794,147.3294,45.05,72,40,20.71,AU,2022-06-12 00:37:12
22,Barrow,71.2906,-156.7887,33.82,75,100,12.66,US,2022-06-12 00:37:25
23,Qaanaaq,77.484,-69.3632,28.98,85,100,1.79,GL,2022-06-12 00:37:26
24,Manzanillo,20.3433,-77.1167,78.94,81,24,2.59,CU,2022-06-12 00:37:26
25,Rikitea,-23.1203,-134.9692,74.01,69,100,10.45,PF,2022-06-12 00:37:27
26,Arraial Do Cabo,-22.9661,-42.0278,66.63,81,100,10.29,BR,2022-06-12 00:37:27
27,Nouadhibou,20.931,-17.0347,67.98,88,0,20.71,MR,2022-06-12 00:37:27
28,Ushuaia,-54.8,-68.3,49.66,71,75,4.61,AR,2022-06-12 00:37:28
29,Vaini,-21.2,-175.2,82.56,78,40,9.22,TO,2022-06-12 00:37:28
30,Constitucion,-35.3333,-72.4167,51.46,66,100,1.68,CL,2022-06-12 00:37:29
31,Pevek,69.7008,170.3133,40.86,58,69,2.68,RU,2022-06-12 00:37:29
32,Sakakah,29.9697,40.2064,85.57,16,0,7.76,SA,2022-06-12 00:37:30
33,Punta Arenas,-53.15,-70.9167,41.11,87,75,4.61,CL,2022-06-12 00:37:30
34,Marystown,47.1666,-55.1483,55.85,100,100,9.51,CA,2022-06-12 00:37:31
35,East London,-33.0153,27.9116,72.41,29,100,13.38,ZA,2022-06-12 00:37:31
36,Upernavik,72.7868,-56.1549,29.17,81,100,15.88,GL,2022-06-12 00:37:31
37,Airai,-8.9266,125.4092,65.95,64,35,3.69,TL,2022-06-12 00:37:32
38,Vandalur,12.8928,80.0808,85.78,84,40,6.91,IN,2022-06-12 00:37:32
39,Harper,4.375,-7.7169,76.53,86,99,7.27,LR,2022-06-12 00:37:33
40,Grand Gaube,-20.0064,57.6608,68.4,80,100,19.66,MU,2022-06-12 00:37:33
41,Torbay,47.6666,-52.7314,59.77,72,75,19.57,CA,2022-06-12 00:37:33
42,Cherskiy,68.75,161.3,69.13,23,72,12.06,RU,2022-06-12 00:37:34
43,Kropotkin,45.4375,40.5756,63.39,52,4,8.61,RU,2022-06-12 00:37:34
44,Jamestown,42.097,-79.2353,69.39,87,100,5.28,US,2022-06-12 00:37:35
45,Georgetown,5.4112,100.3354,76.95,99,20,1.14,MY,2022-06-12 00:34:11
46,Baykit,61.67,96.37,62.94,43,100,7.56,RU,2022-06-12 00:37:35
47,Maragogi,-9.0122,-35.2225,74.34,90,3,4.47,BR,2022-06-12 00:37:36
